2025-01-05T09:00:00,carol@corp.com,10.0.1.10,api.service.io,https://api.service.io/path/2/res/854,GET,200,13734,155294,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/121,social,allowed,IN,Ahmedabad
2025-01-05T09:00:45,alice@corp.com,10.0.1.10,news.example.net,https://news.example.net/path/5/res/303,GET,200,71726,118257,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/121,internal,allowed,DE,Berlin
2025-01-05T09:01:30,alice@corp.com,10.0.1.10,cdn.images.io,https://cdn.images.io/path/2/res/320,POST,200,67814,25853,curl/8.5.0,business,blocked,DE,Berlin
2025-01-05T09:02:15,bob@corp.com,10.0.1.12,www.example.com,https://www.example.com/path/4/res/180,GET,404,72657,151849,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_2) AppleWebKit/605.1.15 Safari/605.1.15,cdn,allowed,US,Austin
2025-01-05T09:03:00,carol@corp.com,10.0.1.10,news.example.net,https://news.example.net/path/2/res/987,GET,200,13538,119358,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/121,internal,allowed,DE,Berlin
2025-01-05T09:03:45,alice@corp.com,10.0.1.11,news.example.net,https://news.example.net/path/5/res/750,GET,200,22731,43334,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_2) AppleWebKit/605.1.15 Safari/605.1.15,social,allowed,IN,Ahmedabad
2025-01-05T09:04:30,bob@corp.com,10.0.1.11,portal.internal.corp,https://portal.internal.corp/path/1/res/334,POST,200,55854,17850,curl/8.5.0,internal,allowed,US,Austin
2025-01-05T09:05:15,carol@corp.com,10.0.1.12,news.example.net,https://news.example.net/path/4/res/246,POST,404,63319,196325,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_2) AppleWebKit/605.1.15 Safari/605.1.15,news,allowed,IN,Ahmedabad
2025-01-05T09:06:00,carol@corp.com,10.0.1.11,news.example.net,https://news.example.net/path/1/res/873,POST,200,30846,178884,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_2) AppleWebKit/605.1.15 Safari/605.1.15,news,allowed,IN,Ahmedabad
2025-01-05T09:06:45,carol@corp.com,10.0.1.10,cdn.images.io,https://cdn.images.io/path/5/res/357,POST,500,84316,168524,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_2) AppleWebKit/605.1.15 Safari/605.1.15,business,allowed,DE,Berlin
2025-01-05T09:07:30,alice@corp.com,10.0.1.11,news.example.net,https://news.example.net/path/3/res/612,GET,404,23716,164418,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_2) AppleWebKit/605.1.15 Safari/605.1.15,social,allowed,DE,Berlin
2025-01-05T09:08:15,carol@corp.com,10.0.1.12,news.example.net,https://news.example.net/path/2/res/652,POST,200,79888,128585,curl/8.5.0,social,allowed,US,San Jose
2025-01-05T09:09:00,alice@corp.com,10.0.1.11,dropbox-files.xyz,https://dropbox-files.xyz/upload/chunk12.bin,POST,200,181098339,63643,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_2) AppleWebKit/605.1.15 Safari/605.1.15,file-sharing,allowed,US,San Jose
2025-01-05T09:09:45,alice@corp.com,10.0.1.12,dropbox-files.xyz,https://dropbox-files.xyz/upload/chunk13.bin,POST,200,435994444,33467,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_2) AppleWebKit/605.1.15 Safari/605.1.15,file-sharing,allowed,US,Austin
2025-01-05T09:10:30,carol@corp.com,10.0.1.11,news.example.net,https://news.example.net/path/2/res/652,POST,200,77522,115345,curl/8.5.0,internal,allowed,IN,Ahmedabad
2025-01-05T09:11:15,alice@corp.com,10.0.1.10,www.example.com,https://www.example.com/path/5/res/667,GET,200,30461,2385,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/121,social,allowed,US,San Jose
2025-01-05T09:12:00,carol@corp.com,10.0.1.12,news.example.net,https://news.example.net/path/3/res/172,GET,200,67691,175868,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/121,news,allowed,IN,Ahmedabad
2025-01-05T09:12:45,alice@corp.com,10.0.1.12,portal.internal.corp,https://portal.internal.corp/path/2/res/903,POST,500,125647,25909,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/121,news,allowed,IN,Ahmedabad
2025-01-05T09:13:30,bob@corp.com,10.0.1.11,cdn.images.io,https://cdn.images.io/path/1/res/512,GET,200,44773,50724,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_2) AppleWebKit/605.1.15 Safari/605.1.15,business,allowed,US,Austin
2025-01-05T09:14:15,carol@corp.com,10.0.1.11,cdn.images.io,https://cdn.images.io/path/4/res/355,POST,200,78262,13761,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/121,social,allowed,US,San Jose
2025-01-05T09:15:00,alice@corp.com,10.0.1.10,cdn.images.io,https://cdn.images.io/path/2/res/985,POST,404,70550,1065,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/121,news,blocked,IN,Ahmedabad
2025-01-05T09:15:45,bob@corp.com,10.0.1.11,cdn.images.io,https://cdn.images.io/path/2/res/294,POST,500,77724,196577,Mozilla/5.0 (Macintosh; Intel Mac OS X 14_2) AppleWebKit/605.1.15 Safari/605.1.15,business,allowed,DE,Berlin
